ts,util,mem,temp,power,clocks,pstate,gen,width
2026/09/18 11:14:02.962, 99, 648, 61, 264.92, 1815, P2, 3, 16
2026/09/18 11:14:33.050, 99, 648, 70, 268.07, 1785, P2, 3, 16
2026/09/18 11:15:03.134, 99, 648, 73, 268.52, 1800, P2, 3, 16
2026/09/18 11:15:33.219, 99, 736, 75, 255.24, 1695, P2, 3, 16
2026/09/18 11:16:03.315, 99, 738, 77, 257.76, 1695, P2, 3, 16
2026/09/18 11:16:33.394, 99, 555, 78, 270.67, 1770, P2, 3, 16
2026/09/18 11:17:03.473, 99, 556, 79, 270.50, 1740, P2, 3, 16
2026/09/18 11:17:33.555, 99, 557, 79, 270.23, 1770, P2, 3, 16
2026/09/18 11:18:03.644, 99, 557, 78, 271.46, 1770, P2, 3, 16
2026/09/18 11:18:33.724, 99, 557, 78, 272.09, 1755, P2, 3, 16
2026/09/18 11:19:03.812, 99, 557, 77, 260.79, 1680, P2, 3, 16
2026/09/18 11:19:33.894, 99, 557, 77, 270.34, 1740, P2, 3, 16
2026/09/18 11:20:03.968, 99, 557, 77, 270.54, 1740, P2, 3, 16
2026/09/18 11:20:34.060, 99, 557, 77, 270.44, 1770, P2, 3, 16
2026/09/18 11:21:04.136, 99, 557, 77, 271.07, 1710, P2, 3, 16
2026/09/18 11:21:34.228, 99, 658, 76, 255.01, 1680, P2, 3, 16
2026/09/18 11:22:04.317, 99, 658, 76, 260.28, 1695, P2, 3, 16
2026/09/18 11:22:34.401, 99, 658, 76, 259.79, 1695, P2, 3, 16
2026/09/18 11:23:04.479, 99, 658, 76, 257.76, 1695, P2, 3, 16
