phase	pid	alloc_GiB	reserved_GiB	max_alloc_GiB	free_dev_GiB	rss_GiB	resident_GiB	detail
trace-installed	539325	0.0	0.0	0.0	18.675	1.057	0.211	{"python": "3.12.14"}
trace-installed	543626	None	None	None	-	0.969	-0.0	{"cuda_ready": false, "pypath_set": true, "python": "3.12.14", "role": "vllm"}
trace-installed	545515	None	None	None	-	0.97	-0.0	{"cuda_ready": false, "pypath_set": true, "python": "3.12.14", "role": "vllm"}
trace-installed	545589	None	None	None	-	0.97	-0.0	{"cuda_ready": false, "pypath_set": true, "python": "3.12.14", "role": "-c"}
trace-installed	545587	None	None	None	-	0.969	-0.0	{"cuda_ready": false, "pypath_set": true, "python": "3.12.14", "role": "-c"}
trace-installed	545691	None	None	None	-	0.97	-0.0	{"cuda_ready": false, "pypath_set": true, "python": "3.12.14", "role": "-c"}
trace-installed	545692	None	None	None	-	0.97	-0.0	{"cuda_ready": false, "pypath_set": true, "python": "3.12.14", "role": "-c"}
p1_before_target_construction	545692	0.059	0.061	0.059	18.557	1.357	0.328	{"cuda_ready": true, "fn": "base_loader.load_model", "pypath_set": true, "role": "vllm"}
trace-installed	545906	None	None	None	-	0.97	-0.0	{"cuda_ready": false, "pypath_set": true, "python": "3.12.14", "role": "-c"}
trace-installed	545904	None	None	None	-	0.97	-0.0	{"cuda_ready": false, "pypath_set": true, "python": "3.12.14", "role": "-c"}
trace-installed	545910	None	None	None	-	0.968	-0.0	{"cuda_ready": false, "pypath_set": true, "python": "3.12.14", "role": "-c"}
trace-installed	545912	None	None	None	-	0.97	-0.0	{"cuda_ready": false, "pypath_set": true, "python": "3.12.14", "role": "-c"}
p4_after_marlin_repack	545692	14.32	15.041	14.398	3.577	1.579	15.309	{"cuda_ready": true, "dtypes": {"g_idx_sort_indices": "int32", "weight_g_idx": "int32", "weight_packed": "int32", "weight_scale": "bfloat16", "weight_shape": "int64", "weight_zero_point": "int32"}, "kernel": "MarlinLinearKernel", "module": "MergedColumnParallelLinear", "param": "weight_packed", "pypath_set": true, "role": "vllm"}
p4_after_marlin_repack	545692	14.32	15.041	14.398	3.577	1.587	15.309	{"cuda_ready": true, "dtypes": {"g_idx_sort_indices": "int32", "weight_g_idx": "int32", "weight_packed": "int32", "weight_scale": "bfloat16", "weight_shape": "int64", "weight_zero_point": "int32"}, "kernel": "MarlinLinearKernel", "module": "MergedColumnParallelLinear", "param": "weight_scale", "pypath_set": true, "role": "vllm"}
