phase	pid	alloc_GiB	reserved_GiB	max_alloc_GiB	free_dev_GiB	rss_GiB	resident_GiB	detail
trace-installed	690097	None	None	None	-	0.971	-0.0	{"cuda_ready": false, "pypath_set": true, "python": "3.12.14", "role": "vllm"}
trace-installed	690189	None	None	None	-	0.971	-0.0	{"cuda_ready": false, "pypath_set": true, "python": "3.12.14", "role": "-c"}
trace-installed	690187	None	None	None	-	0.971	-0.0	{"cuda_ready": false, "pypath_set": true, "python": "3.12.14", "role": "-c"}
trace-installed	690366	None	None	None	-	0.971	-0.0	{"cuda_ready": false, "pypath_set": true, "python": "3.12.14", "role": "-c"}
trace-installed	690365	None	None	None	-	0.971	-0.0	{"cuda_ready": false, "pypath_set": true, "python": "3.12.14", "role": "-c"}
p1_before_target_construction	690366	0.059	0.061	0.059	18.5	1.358	0.328	{"cuda_ready": true, "fn": "base_loader.load_model", "pypath_set": true, "role": "vllm"}
trace-installed	690481	None	None	None	-	0.953	-0.0	{"cuda_ready": false, "pypath_set": true, "python": "3.12.14", "role": "-c"}
trace-installed	690485	None	None	None	-	0.955	-0.0	{"cuda_ready": false, "pypath_set": true, "python": "3.12.14", "role": "-c"}
trace-installed	690479	None	None	None	-	0.957	-0.0	{"cuda_ready": false, "pypath_set": true, "python": "3.12.14", "role": "-c"}
trace-installed	690483	None	None	None	-	0.967	-0.0	{"cuda_ready": false, "pypath_set": true, "python": "3.12.14", "role": "-c"}
trace-installed	690657	None	None	None	-	0.968	-0.0	{"cuda_ready": false, "pypath_set": true, "python": "3.12.14", "role": "cpuinfo.py"}
p4_after_marlin_repack	690366	14.32	15.041	14.398	3.519	1.208	15.309	{"cuda_ready": true, "dtypes": {"g_idx_sort_indices": "int32", "weight_g_idx": "int32", "weight_packed": "int32", "weight_scale": "bfloat16", "weight_shape": "int64", "weight_zero_point": "int32"}, "kernel": "MarlinLinearKernel", "module": "MergedColumnParallelLinear", "param": "weight_packed", "pypath_set": true, "role": "vllm"}
p4_after_marlin_repack	690366	14.32	15.041	14.398	3.519	1.214	15.309	{"cuda_ready": true, "dtypes": {"g_idx_sort_indices": "int32", "weight_g_idx": "int32", "weight_packed": "int32", "weight_scale": "bfloat16", "weight_shape": "int64", "weight_zero_point": "int32"}, "kernel": "MarlinLinearKernel", "module": "MergedColumnParallelLinear", "param": "weight_scale", "pypath_set": true, "role": "vllm"}
p4_after_marlin_repack	690366	14.32	15.061	14.398	3.5	1.212	15.328	{"cuda_ready": true, "dtypes": {"g_idx_sort_indices": "int32", "weight_g_idx": "int32", "weight_packed": "int32", "weight_scale": "bfloat16", "weight_shape": "int64", "weight_zero_point": "int32"}, "kernel": "MarlinLinearKernel", "module": "RowParallelLinear", "param": "weight_packed", "pypath_set": true, "role": "vllm"}
p4_after_marlin_repack	690366	14.32	15.062	14.398	3.498	1.212	15.33	{"cuda_ready": true, "dtypes": {"g_idx_sort_indices": "int32", "weight_g_idx": "int32", "weight_packed": "int32", "weight_scale": "bfloat16", "weight_shape": "int64", "weight_zero_point": "int32"}, "kernel": "MarlinLinearKernel", "module": "RowParallelLinear", "param": "weight_scale", "pypath_set": true, "role": "vllm"}
p4_after_marlin_repack	690366	14.32	15.238	14.486	3.322	1.21	15.506	{"cuda_ready": true, "dtypes": {"g_idx_sort_indices": "int32", "weight_g_idx": "int32", "weight_packed": "int32", "weight_scale": "bfloat16", "weight_shape": "int64", "weight_zero_point": "int32"}, "kernel": "MarlinLinearKernel", "module": "MergedColumnParallelLinear", "param": "weight_packed", "pypath_set": true, "role": "vllm"}
