phase	pid	alloc_GiB	reserved_GiB	max_alloc_GiB	free_dev_GiB	rss_GiB	resident_GiB	detail
trace-installed	713206	None	None	None	-	0.971	-0.0	{"cuda_ready": false, "pypath_set": true, "python": "3.12.14", "role": "vllm"}
trace-installed	713279	None	None	None	-	0.971	-0.0	{"cuda_ready": false, "pypath_set": true, "python": "3.12.14", "role": "-c"}
trace-installed	713277	None	None	None	-	0.962	-0.0	{"cuda_ready": false, "pypath_set": true, "python": "3.12.14", "role": "-c"}
trace-installed	713455	None	None	None	-	0.971	-0.0	{"cuda_ready": false, "pypath_set": true, "python": "3.12.14", "role": "-c"}
trace-installed	713456	None	None	None	-	0.971	-0.0	{"cuda_ready": false, "pypath_set": true, "python": "3.12.14", "role": "-c"}
p1_before_target_construction	713456	0.059	0.061	0.059	18.5	1.357	0.328	{"cuda_ready": true, "fn": "base_loader.load_model", "pypath_set": true, "role": "vllm"}
p6a_after_int4_scratch_alloc	713456	2.039	2.682	2.495	15.878	1.45	2.949	{"buffers": {"expsum": {"dtype": "float32", "shape": [128, 24, 16]}, "max": {"dtype": "float32", "shape": [128, 24, 16]}, "output": {"dtype": "float32", "shape": [128, 24, 16, 256]}}, "cuda_ready": true, "fn": "mq3d_scratch_acquire", "plan": {"capacity": 128, "headdim_padded": 256, "max_num_batched_tokens": 2048, "max_num_seqs": 8, "max_query_len_3d": 16, "num_heads_kv": 4, "num_heads_q": 24, "row_bytes": 396288, "seq_threshold_3D": 32}, "pypath_set": true, "role": "vllm"}
p6a_after_int4_scratch_alloc	713456	2.772	3.41	2.772	15.15	1.451	3.678	{"buffers": {"expsum": {"dtype": "float32", "shape": [128, 24, 16]}, "max": {"dtype": "float32", "shape": [128, 24, 16]}, "output": {"dtype": "float32", "shape": [128, 24, 16, 256]}}, "cuda_ready": true, "fn": "mq3d_scratch_acquire", "plan": {"capacity": 128, "headdim_padded": 256, "max_num_batched_tokens": 2048, "max_num_seqs": 8, "max_query_len_3d": 16, "num_heads_kv": 4, "num_heads_q": 24, "row_bytes": 396288, "seq_threshold_3D": 32}, "pypath_set": true, "role": "vllm"}
p6a_after_int4_scratch_alloc	713456	3.505	4.137	3.505	14.423	1.451	4.404	{"buffers": {"expsum": {"dtype": "float32", "shape": [128, 24, 16]}, "max": {"dtype": "float32", "shape": [128, 24, 16]}, "output": {"dtype": "float32", "shape": [128, 24, 16, 256]}}, "cuda_ready": true, "fn": "mq3d_scratch_acquire", "plan": {"capacity": 128, "headdim_padded": 256, "max_num_batched_tokens": 2048, "max_num_seqs": 8, "max_query_len_3d": 16, "num_heads_kv": 4, "num_heads_q": 24, "row_bytes": 396288, "seq_threshold_3D": 32}, "pypath_set": true, "role": "vllm"}
p6a_after_int4_scratch_alloc	713456	4.238	4.885	4.238	13.675	1.452	5.152	{"buffers": {"expsum": {"dtype": "float32", "shape": [128, 24, 16]}, "max": {"dtype": "float32", "shape": [128, 24, 16]}, "output": {"dtype": "float32", "shape": [128, 24, 16, 256]}}, "cuda_ready": true, "fn": "mq3d_scratch_acquire", "plan": {"capacity": 128, "headdim_padded": 256, "max_num_batched_tokens": 2048, "max_num_seqs": 8, "max_query_len_3d": 16, "num_heads_kv": 4, "num_heads_q": 24, "row_bytes": 396288, "seq_threshold_3D": 32}, "pypath_set": true, "role": "vllm"}
